iter	Passed	Remaining
216	343	4602
217	344	4599
218	346	4593
219	347	4589
220	348	4586
221	350	4583
222	351	4577
223	353	4574
224	354	4571
225	356	4569
226	357	4565
227	358	4560
228	360	4557
229	361	4554
230	363	4551
231	364	4547
232	366	4544
233	367	4542
234	369	4539
235	370	4535
236	371	4528
237	372	4525
238	374	4522
239	375	4519
240	377	4515
241	378	4512
242	379	4507
243	381	4504
244	382	4501
245	384	4495
246	385	4492
247	386	4489
248	388	4484
249	389	4482
250	391	4479
251	392	4476
252	394	4475
253	395	4473
254	397	4470
255	398	4469
256	400	4467
257	401	4462
258	402	4458
259	404	4456
260	405	4454
261	406	4448
262	408	4444
263	409	4441
264	410	4437
265	412	4432
266	413	4429
267	415	4426
268	416	4423
269	417	4418
270	419	4415
271	420	4414
272	422	4413
273	423	4410
274	424	4405
275	426	4401
276	427	4399
277	429	4395
278	430	4392
279	431	4388
280	432	4383
281	434	4381
282	435	4379
283	437	4373
284	438	4370
285	439	4366
286	441	4363
287	442	4361
288	444	4359
289	445	4358
290	447	4357
291	448	4352
292	449	4349
293	451	4346
294	452	4343
295	454	4342
296	455	4340
297	457	4338
298	458	4336
299	460	4333
300	461	4329
301	462	4326
302	464	4326
303	465	4323
304	467	4320
305	468	4317
306	469	4314
307	471	4313
308	472	4308
309	474	4306
310	475	4304
311	477	4303
312	478	4301
313	480	4300
314	481	4300
315	483	4300
316	484	4297
317	486	4294
318	487	4290
319	488	4287
320	490	4283
321	491	4280
322	493	4278
323	494	4276
324	495	4273
325	497	4271
326	498	4269
327	500	4267
328	501	4264
329	503	4264
330	504	4264
331	506	4263
332	507	4260
333	509	4259
334	511	4258
335	512	4255
336	513	4253
337	515	4251
338	516	4247
339	518	4244
340	519	4241
341	520	4239
342	522	4236
343	523	4233
344	524	4230
345	526	4228
346	527	4226
347	529	4223
348	530	4220
349	531	4217
350	533	4215
351	534	4212
352	535	4209
353	537	4206
354	538	4203
355	539	4201
356	541	4200
357	542	4197
358	544	4193
359	545	4189
360	546	4186
361	547	4183
362	549	4180
363	550	4177
364	551	4172
365	553	4170
366	554	4167
367	555	4165
368	557	4163
369	558	4161
370	560	4159
371	561	4156
372	563	4155
373	564	4152
374	565	4151
375	567	4150
376	569	4149
377	570	4148
378	571	4145
379	573	4142
380	574	4138
381	575	4136
382	577	4133
383	578	4130
384	579	4126
385	581	4125
386	582	4122
387	583	4119
388	584	4115
389	586	4112
390	587	4109
391	588	4106
392	590	4103
393	591	4101
394	593	4100
395	594	4099
396	596	4100
397	598	4098
398	599	4096
399	600	4093
400	601	4089
401	603	4087
402	604	4084
403	605	4081
404	607	4078
405	608	4075
406	609	4074
407	611	4072
408	612	4068
409	613	4067
410	615	4063
411	616	4061
412	617	4059
413	619	4056
414	620	4053
415	622	4052
416	623	4051
417	625	4050
418	626	4047
419	627	4044
420	629	4041
421	630	4041
422	632	4039
423	633	4037
424	634	4034
425	636	4031
426	637	4029
427	638	4027
428	640	4025
429	641	4023
430	643	4021
431	644	4019
432	646	4018
433	647	4018
434	649	4016
435	650	4014
436	652	4012
437	653	4009
438	654	4007
439	656	4005
440	657	4002
441	658	4001
442	660	4000
443	661	3997
444	662	3993
445	664	3990
446	665	3988
447	666	3987
448	668	3984
449	669	3982
450	671	3980
451	672	3977
452	674	3977
453	675	3975
454	676	3973
